class,lahatsoratra
1, Miarahaba misaotra tamin'ny fanomezana fanazavana
0, $%&*!!! Mahazo tombony hatramin'ny 1000000 Ar raha manaraka ity rohy ity !
1, Ny fivoriana dia hotontosaina rahampitso amin'ny 10 ora
0, !!!! Tsindrio eto hahazoanao loka maimaimpoana ! 
1,Efa nandefa ny tatitra izahay jereo azafady
0,Mahazoa tahiry manokana amin'ity taona ity !
1,Manaova famandrihana mialoha mba hahazoana tombony.
0,Mahazoa fihenam-bidy 50% amin'ny fividianana rehetra !
1,Raha misy fanontaniana aza misalasala mifandray amiko
0,!!!! Tsy tokony hadinoina ity fifanarahana ity !
1,Nanova ny fandaharam-potoana izahay azo atao rahampitso
0, $%!! Mahazo tombony 1000$ amin'ny fandraisana anjara !
1, Misaotra tamin'ny valiny hihaona rahampitso.
0,!$$ Raha mila fanazavana tsindrio eto !
1, Alefaso any ny mombamomba ny tetikasa handinika izahay
0, $%&*!!! Tsindrio ity rohy ity mba hahazoana tombony maimaimpoana !
1, Manantena izahay fa afaka hanatrika ny fivoriana ianao
0, Mitandrema ! Tsy maintsy mahazo tombony ianao amin'ny tsindry iray !
1, Azafady manamarina ny ora ho an'ny fivoriana manaraka.
0, Manararaotra izao fihenam-bidy izao !
1,Mifandraisa raha misy zavatra hafa ilainao.
0,!!! Tsy tokony ho very io tombony io !
1,Nanova ny fandaharam-potoana ny mpanjifa.
0,Mahazo loka lehibe amin'ny fandraisana anjara amin'ity fanadihadiana ity !
1,Mankasitraka indrindra ny fiaraha-miasa.
0,!!$ Mandraisa anjara amin'ny fandresena loka izao !
1,Misaotra tamin'ny fanampiana tamin'ny tetikasa
0,Mividiana izao ary mahazoa fihenam-bidy !
1,Nanomana ny antontan-taratasy araka ny nangatahinao izahay.
0,Tsindrio eto ary afaka mahazo $1000 ianao !
1,Manome fanampim-panazavana fanampiny izahay rehefa vonona.
0,Mandraisa anjara izao ary mahazoa loka !
1,Manantena aho fa afaka mihaona rahampitso isika
0,Mahazoa tombony manokana amin'ny fidirana an-tserasera izao !
1,Nandefa ny vaovao farany momba ny tetikasa aho
0,Mahazo fihenam-bidy lehibe ianao raha tsindrio eto izao !
1,Andefaso mailaka aho raha misy fanontaniana
0,Tadiavo ny fomba hahazoana vola amin'ny tsindry iray monja !
1,Nanantena izahay fa afaka mihaona amin'ny fihaonambe manaraka
0,Tsindrio eto izao mba hisoratra anarana amin'ny fifaninanana loka !
1,Nandray ny antontan-taratasinao izahay ary handinika izany
0,$%!! Mahazo fahafahana hahazo tombony lehibe amin'ny tsindry iray !
1,Andefaso ny fanazavana momba ny fandaharam-potoana
0,Mahazo loka lehibe ianao raha tsindrio ity rohy ity izao !
1,Maniry anao handinika ny vaovao momba ny tetikasa farany izahay
0,!$$ Tsindrio izao ary mahazoa vola maimaimpoana !
1,Mankasitraka ny valiny
0,Tadiavo ny fomba hahazoana fihenam-bidy lehibe amin'ny fividianana !
